InternalId;StatusName;LoadDate
1;New;2024-09-08 10:55:00.000
2;New;2024-09-08 12:00:00.000
2;Handed to courier;2024-09-09 22:32:51.000
2;Done;2024-09-10 13:54:09.000
3;New;2024-09-05 12:00:00.000
3;Handed to courier;2024-09-05 13:05:08.000
3;Cancelled;2024-09-07 02:20:58.000
4;New;2024-09-04 11:00:00.000
4;Handed to courier;2024-09-06 09:27:26.000
4;In Progress;2024-09-07 03:48:01.000
4;Done;2024-09-07 13:57:29.000
5;New;2024-09-02 11:00:00.000
5;Handed to courier;2024-09-02 14:13:45.000
5;Done;2024-09-04 20:59:09.000
6;New;2024-09-04 18:00:00.000
7;New;2024-09-06 11:00:00.000
7;Handed to courier;2024-09-07 06:11:57.000
7;In Progress;2024-09-06 15:48:37.000
7;Cancelled;2024-09-09 11:07:45.000
8;New;2024-08-30 10:00:00.000
8;Handed to courier;2024-08-30 22:54:06.000
8;Done;2024-09-01 03:09:29.000
9;New;2024-08-07 13:00:00.000
9;Handed to courier;2024-08-07 23:12:26.000
9;In Progress;2024-08-09 22:03:26.000
9;Done;2024-08-11 01:21:47.000
10;New;2024-08-30 18:30:00.000
10;Handed to courier;2024-08-30 23:16:45.000
11;New;2024-09-02 11:00:00.000
11;Handed to courier;2024-09-02 20:39:34.000
12;New;2024-08-31 13:00:00.000
12;Handed to courier;2024-09-01 12:35:05.000
12;In Progress;2024-08-31 19:30:54.000
12;Done;2024-09-02 02:54:22.000
13;New;2024-08-30 10:00:00.000
13;Handed to courier;2024-08-30 17:25:24.000
13;Done;2024-08-30 22:39:10.000
14;New;2024-09-03 18:30:00.000
15;New;2024-08-30 11:02:00.000
16;New;2024-08-30 10:00:00.000
17;New;2024-08-29 10:00:00.000
17;Handed to courier;2024-08-30 00:04:37.000
17;In Progress;2024-08-30 15:10:38.000
18;New;2024-08-28 10:00:00.000
18;Handed to courier;2024-08-30 08:57:34.000
18;Done;2024-09-01 04:21:52.000
19;New;2024-08-28 16:55:00.000
19;Handed to courier;2024-08-29 08:38:31.000
20;New;2024-08-27 17:00:00.000
21;New;2024-09-03 10:00:00.000
21;Handed to courier;2024-09-03 22:28:25.000
22;New;2024-08-31 18:00:00.000
22;Handed to courier;2024-09-01 10:48:32.000
23;New;2024-08-29 17:00:00.000
23;Handed to courier;2024-08-30 05:55:58.000
23;In Progress;2024-08-29 18:06:47.000
24;New;2024-08-26 17:50:00.000
24;Handed to courier;2024-08-27 02:11:30.000
24;In Progress;2024-08-26 21:38:13.000
24;Cancelled;2024-08-29 02:24:57.000
25;New;2024-08-24 10:00:00.000
25;Handed to courier;2024-08-25 22:28:59.000
26;New;2024-08-25 17:50:00.000
26;Handed to courier;2024-08-25 20:38:29.000
26;Done;2024-08-26 19:21:59.000
27;New;2024-08-20 18:00:00.000
27;Handed to courier;2024-08-20 22:20:02.000
28;New;2024-08-23 10:00:00.000
29;New;2024-08-21 08:00:00.000
29;Handed to courier;2024-08-22 21:10:43.000
29;Done;2024-08-24 04:53:38.000
30;New;2024-08-20 08:00:00.000
30;Handed to courier;2024-08-21 19:38:29.000
30;In Progress;2024-08-23 03:19:32.000
30;Cancelled;2024-08-25 04:40:33.000
31;New;2024-08-23 18:00:00.000
31;Handed to courier;2024-08-24 00:55:45.000
32;New;2024-08-21 20:00:00.000
32;Handed to courier;2024-08-22 05:05:43.000
32;In Progress;2024-08-23 13:27:37.000
32;Done;2024-08-24 19:02:53.000
33;New;2024-08-23 15:00:00.000
34;New;2024-08-16 20:00:00.000
34;Handed to courier;2024-08-17 13:46:26.000
34;Done;2024-08-17 22:26:41.000
35;New;2024-08-17 15:05:00.000
35;Handed to courier;2024-08-18 03:03:22.000
35;Done;2024-08-18 14:15:03.000
36;New;2024-08-19 14:00:00.000
36;Handed to courier;2024-08-20 07:18:10.000
36;Done;2024-08-21 13:31:44.000
37;New;2024-08-18 10:00:00.000
37;Handed to courier;2024-08-18 22:57:19.000
37;Done;2024-08-18 17:30:36.000
38;New;2024-08-15 10:00:00.000
38;Handed to courier;2024-08-15 12:58:26.000
39;New;2024-08-18 14:00:00.000
39;Handed to courier;2024-08-19 07:04:38.000
39;Done;2024-08-20 01:29:44.000
40;New;2024-08-16 11:00:00.000
40;Handed to courier;2024-08-17 03:53:41.000
41;New;2024-08-19 11:00:00.000
41;Handed to courier;2024-08-20 20:33:42.000
41;Done;2024-08-21 14:28:57.000
42;New;2024-08-12 15:00:00.000
42;Handed to courier;2024-08-12 18:32:49.000
42;Done;2024-08-13 02:41:08.000
43;New;2024-08-14 15:00:00.000
44;New;2024-08-14 10:00:00.000
44;Handed to courier;2024-08-14 11:07:53.000
44;In Progress;2024-08-17 08:21:38.000
45;New;2024-08-10 17:00:00.000
45;Handed to courier;2024-08-10 22:36:49.000
45;In Progress;2024-08-11 23:32:02.000
45;Done;2024-08-13 16:06:28.000
46;New;2024-08-09 17:00:00.000
46;Handed to courier;2024-08-09 20:43:24.000
46;In Progress;2024-08-11 09:05:34.000
46;Done;2024-08-12 16:09:48.000
47;New;2024-07-27 18:00:00.000
48;New;2024-08-12 10:00:00.000
49;New;2024-08-14 19:00:00.000
49;Handed to courier;2024-08-14 23:11:29.000
49;Done;2024-08-15 02:48:29.000
50;New;2024-08-10 20:00:00.000
51;New;2024-08-10 20:00:00.000
51;Handed to courier;2024-08-11 07:43:13.000
51;Done;2024-08-12 03:22:56.000
52;New;2024-08-17 14:00:00.000
53;New;2024-08-18 14:00:00.000
53;Handed to courier;2024-08-19 07:58:46.000
53;Done;2024-08-18 22:03:15.000
54;New;2024-08-16 14:00:00.000
54;Handed to courier;2024-08-17 09:57:31.000
54;Done;2024-08-19 10:54:43.000
55;New;2024-08-19 14:00:00.000
55;Handed to courier;2024-08-20 04:35:08.000
55;In Progress;2024-08-20 21:08:29.000
56;New;2024-08-02 16:00:00.000
56;Handed to courier;2024-08-03 04:14:28.000
56;Done;2024-08-03 11:38:00.000
57;New;2024-08-07 13:00:00.000
57;Handed to courier;2024-08-09 08:02:07.000
57;Done;2024-08-09 21:54:16.000
58;New;2024-08-08 16:00:00.000
58;Handed to courier;2024-08-09 06:38:46.000
58;In Progress;2024-08-11 10:26:21.000
58;Done;2024-08-12 15:46:37.000
59;New;2024-08-05 18:00:00.000
59;Handed to courier;2024-08-06 06:20:36.000
60;New;2024-08-05 09:00:00.000
60;Handed to courier;2024-08-06 19:33:56.000
60;In Progress;2024-08-07 09:41:24.000
60;Cancelled;2024-08-08 23:01:25.000
61;New;2024-08-02 09:00:00.000
61;Handed to courier;2024-08-03 01:25:10.000
61;Done;2024-08-04 07:48:19.000
62;New;2024-07-29 12:30:00.000
62;Handed to courier;2024-07-29 18:48:14.000
62;In Progress;2024-07-31 03:07:04.000
62;Done;2024-08-01 23:39:38.000
63;New;2024-07-24 17:30:00.000
63;Handed to courier;2024-07-26 12:18:56.000
63;Done;2024-07-27 10:19:34.000
64;New;2024-07-04 20:00:00.000
65;New;2024-07-29 20:00:00.000
65;Handed to courier;2024-07-30 19:23:18.000
65;Done;2024-08-01 02:37:36.000
66;New;2024-07-24 12:30:00.000
67;New;2024-07-26 20:00:00.000
67;Handed to courier;2024-07-27 09:37:26.000
67;Done;2024-07-30 11:45:59.000
68;New;2024-07-29 17:30:00.000
68;Handed to courier;2024-07-30 05:13:47.000
68;In Progress;2024-07-30 19:41:21.000
68;Cancelled;2024-08-01 14:32:19.000
69;New;2024-07-18 18:00:00.000
69;Handed to courier;2024-07-20 14:05:15.000
69;Done;2024-07-21 17:18:26.000
70;New;2024-07-23 13:00:00.000
70;Handed to courier;2024-07-23 15:47:56.000
70;Done;2024-07-24 23:08:20.000
71;New;2024-07-22 12:00:00.000
71;Handed to courier;2024-07-23 04:23:41.000
71;In Progress;2024-07-25 11:25:22.000
72;New;2024-07-22 15:00:00.000
72;Handed to courier;2024-07-23 19:42:02.000
72;Done;2024-07-25 07:11:38.000
